County,Fips,Geometry,Latitude,Longitude,Number of Records,Population,State,Tract
003,42003010300,POINT,40.435636,-79.990745,1,6600,42,010300
003,42003020100,POINT,40.440623,-79.998398,1,3629,42,020100
003,42003020300,POINT,40.456547,-79.978868,1,616,42,020300
003,42003030500,POINT,40.44295,-79.984046,1,2256,42,030500
003,42003040200,POINT,40.440548,-79.964469,1,2604,42,040200
003,42003040400,POINT,40.44764,-79.94994,1,2488,42,040400
003,42003040500,POINT,40.439,-79.956104,1,3694,42,040500
003,42003040600,POINT,40.436736,-79.953256,1,2392,42,040600
003,42003040900,POINT,40.43286,-79.957051,1,2969,42,040900
003,42003050100,POINT,40.447611,-79.973305,1,1707,42,050100
003,42003050600,POINT,40.453071,-79.959808,1,2057,42,050600
003,42003050900,POINT,40.450887,-79.973709,1,1202,42,050900
003,42003051000,POINT,40.444197,-79.966721,1,2106,42,051000
003,42003051100,POINT,40.44169,-79.976398,1,1122,42,051100
003,42003060300,POINT,40.464204,-79.962684,1,2341,42,060300
003,42003060500,POINT,40.457773,-79.964682,1,1274,42,060500
003,42003070300,POINT,40.450995,-79.934131,1,2197,42,070300
003,42003070500,POINT,40.455476,-79.92903,1,2997,42,070500
003,42003070600,POINT,40.453197,-79.925652,1,2082,42,070600
003,42003070800,POINT,40.45623,-79.921077,1,1705,42,070800
003,42003070900,POINT,40.452522,-79.94194,1,4934,42,070900
003,42003080200,POINT,40.460394,-79.950909,1,1679,42,080200
003,42003080400,POINT,40.456709,-79.94667,1,1369,42,080400
003,42003080600,POINT,40.460544,-79.939648,1,1998,42,080600
003,42003080700,POINT,40.460803,-79.934182,1,1785,42,080700
003,42003080900,POINT,40.46328,-79.944637,1,1767,42,080900
003,42003090100,POINT,40.47342,-79.960656,1,1843,42,090100
003,42003090200,POINT,40.468636,-79.957438,1,2635,42,090200
003,42003090300,POINT,40.464414,-79.952401,1,1629,42,090300
003,42003100500,POINT,40.477852,-79.937756,1,2079,42,100500
003,42003101100,POINT,40.480284,-79.951322,1,2669,42,101100
003,42003101400,POINT,40.481616,-79.927876,1,3346,42,101400
003,42003101600,POINT,40.470744,-79.938712,1,857,42,101600
003,42003101700,POINT,40.466417,-79.941352,1,1465,42,101700
